2024-03-17T23:36:46.838+0300	INFO	logger/logger.go:29	WASSAP NIGGA
2024-03-17T23:39:28.240+0300	INFO	logger/logger.go:29	The Logger was successfully initialized
2024-03-17T23:55:33.222+0300	INFO	logger/logger.go:29	The Logger was successfully initialized
2024-03-17T23:55:41.254+0300	INFO	server/server.go:203	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "0s"}
2024-03-17T23:55:42.081+0300	INFO	server/server.go:203	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "0s"}
2024-03-17T23:55:42.220+0300	INFO	server/server.go:203	TEST LOG MIDDLEWARE	{"uri": "/favicon.ico", "method": "GET", "time": "0s"}
2024-03-17T23:56:43.734+0300	INFO	server/server.go:203	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "0s"}
2024-03-17T23:56:49.174+0300	INFO	server/server.go:203	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "0s"}
2024-03-17T23:56:57.627+0300	INFO	server/server.go:203	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "0s"}
2024-03-18T00:20:04.530+0300	INFO	logger/logger.go:29	The Logger was successfully initialized
2024-03-18T00:20:10.274+0300	INFO	server/server.go:204	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "2.008148s"}
2024-03-19T22:44:42.877+0300	INFO	logger/logger.go:29	The Logger was successfully initialized
2024-03-19T22:45:09.936+0300	INFO	logger/logger.go:29	The Logger was successfully initialized
2024-03-19T22:45:22.060+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "0s"}
2024-03-19T22:45:23.661+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "0s"}
2024-03-19T22:45:23.813+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/favicon.ico", "method": "GET", "time": "0s"}
2024-03-19T22:45:37.084+0300	INFO	logger/logger.go:29	The Logger was successfully initialized
2024-03-19T22:45:47.137+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/NumForcedGC/0.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.139+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/MCacheSys/16352.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.140+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/Sys/6836224.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.141+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapAlloc/325296.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.142+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapReleased/3080192.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.143+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/MSpanSys/48960.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.145+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapIdle/3080192.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.147+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/GCCPUFraction/0.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.148+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/TotalAlloc/325296.000", "method": "POST", "time": "506.5µs"}
2024-03-19T22:45:47.149+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapSys/4063232.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.151+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapObjects/2025.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.152+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/StackSys/131072.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.153+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/PauseTotalNs/0.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.156+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/Frees/21.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.157+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/StackInuse/131072.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.159+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/NumGC/0.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.161+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/LastGC/0.000", "method": "POST", "time": "17.2µs"}
2024-03-19T22:45:47.163+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/Alloc/325296.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.164+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/MCacheInuse/14016.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.166+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/Lookups/0.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.169+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/Mallocs/2046.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.170+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/OtherSys/904199.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.171+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/BuckHashSys/9505.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.173+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/MSpanInuse/34560.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.175+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/RandomValue/4715.100", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.176+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapInuse/983040.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.177+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/NextGC/4194304.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.179+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/GCSys/1662904.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.181+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/counter/PollCount/4.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:53.959+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "0s"}
2024-03-19T22:45:55.251+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "0s"}
2024-03-19T22:45:55.451+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "0s"}
2024-03-19T22:45:55.632+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "939.7µs"}
2024-03-19T22:45:55.789+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "956.5µs"}
2024-03-19T22:45:57.208+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapObjects/6554.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.210+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/Sys/6836224.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.211+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/StackInuse/655360.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.212+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapInuse/1802240.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.214+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/NextGC/4194304.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.215+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/MSpanInuse/55040.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.217+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/RandomValue/6824.367", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.218+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/GCSys/1749256.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.220+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapSys/3538944.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.222+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapIdle/1736704.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.223+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/BuckHashSys/9505.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.225+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/Lookups/0.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.227+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/OtherSys/801527.000", "method": "POST", "time": "0s"}
